"name","date","dem"
"BEL",1940-04-03,0
"BEL",1944-08-31,0
"DEN",1940-04-08,0
"DEN",1945-05-03,0
"FRN",1940-06-21,0
"FRN",1944-09-08,0
"NOR",1940-04-08,0
"NOR",1945-05-06,0
"NTH",1940-05-09,0
"NTH",1945-05-01,0
"PAR",1940-02-14,-9
"PAR",1947-07-26,-9
"ROM",1940-09-05,0
"ROM",1941-01-19,0
"LUX",1940-04-03,0
"LUX",1944-08-31,0
"GRC",1941-04-23,0
"GRC",1944-12-28,0
"IRN",1941-09-15,0
"IRN",1946-02-28,0
"IRQ",1941-05-01,-4
"IRQ",1958-07-12,-4
"PHI",1941-12-06,0
"PHI",1944-10-19,0
"ROM",1941-01-20,-7
"ROM",1944-08-21,-7
"THI",1941-12-20,0
"THI",1942-06-28,0
"VEN",1941-06-29,-3
"VEN",1958-12-05,-3
"YUG",1941-04-06,0
"YUG",1944-10-18,0
"ETH",1942-01-30,-5
"ETH",1946-06-28,-5
"THI",1942-06-29,-3
"THI",1952-06-28,-3
"ARG",1943-06-04,-8
"ARG",1946-02-22,-8
"BUL",1943-08-28,0
"BUL",1944-09-03,0
"ITA",1943-09-14,0
"ITA",1945-04-26,0
"LEB",1943-11-20,1
"LEB",1970-08-15,1
"BEL",1944-09-01,8
"BEL",1951-07-14,8
"BUL",1944-09-04,0
"BUL",1946-09-13,0
"FIN",1944-09-01,10
"FIN",2012-12-28,10
"FRN",1944-09-09,0
"FRN",1947-01-13,0
"GRC",1944-12-29,8
"GRC",1949-10-14,8
"GUA",1944-12-18,5
"GUA",1950-12-08,5
"HUN",1944-10-14,0
"HUN",1945-04-02,0
"PHI",1944-10-20,2
"PHI",1950-06-28,2
"ROM",1944-08-22,-3
"ROM",1947-12-28,-3
"SAL",1944-06-29,-8
"SAL",1948-12-12,-8
"YUG",1944-10-19,0
"YUG",1945-11-27,0
"LUX",1944-09-01,8
"LUX",1951-07-14,8
"AFG",1945-06-29,-10
"AFG",1953-09-05,-10
"ALB",1945-11-09,0
"ALB",1946-01-09,0
"AUS",1945-04-29,0
"AUS",1946-06-26,0
"BRA",1945-10-24,0
"BRA",1946-09-16,0
"CZE",1945-05-15,0
"CZE",1946-05-24,0
"DEN",1945-05-04,10
"DEN",2012-12-28,10
"GDR",1945-05-06,0
"GDR",1949-10-02,0
"GFR",1945-05-06,0
"GFR",1949-05-21,0
"HUN",1945-04-03,0
"HUN",1948-12-13,0
