"date","sender_id","receiver_id","sender","receiver","year","class","contrition","symbolic","desc"
2009-05-30,"Japan_gov","United States_gov","Japan","United States",2009,"international","3_apology",FALSE,"The Japanese ambassador to the United States apologized to the 73 surviving POWs of the Bataan Death March in the Philippines in April 1942 during World War II."
2009-06-18,"United States_gov","slavery_victims","United States","slavery_victims",2009,"multilateral","3_apology",FALSE,"The U.S. Senate apologized for slavery "
2009-07-07,"Japan_gov","Canada_gov","Japan","Canada",2009,"international","2_regret",FALSE,"In Ottawa, Emperor Akihito of Japan expressed sadness that so many people experienced suffering and difficulties during the war."
2009-11-16,"Australia_gov","Australia_min","Australia","Australia",2009,"domestic","3_apology",FALSE,"The Australian parliament apologized to ÒForgotten AustraliansÓ and former child migrants."
2009-11-23,"Czechia_gov","Czechia_min","Czechia","Czechia",2009,"domestic","2_regret",FALSE,"The Czech government expressed regret over forced sterilization of Roma women"
2009-11-27,"Peru_gov","Peru_min","Peru","Peru",2009,"domestic","3_apology",FALSE,"Peru apologized to its citizens of African origin for centuries of Òabuse, exclusion and discrimination.Ó"
2010-01-14,"Chile_gov","Chile_min","Chile","Chile",2010,"domestic","3_apology",FALSE,"Chilean president Michelle Bachelet apologized to the descendants of a group of indigenous Kawesqar who were captured by German explorers in 1881, and shipped to Europe to be exhibited as curiosities in European cities.  "
2010-01-16,"El Salvador_gov","El Salvador_min","El Salvador","El Salvador",2010,"domestic","3_apology",FALSE,"El Salvador President Mauricio Funes apologized for state violence and terror"
2010-02-24,"United Kingdom_gov","United Kingdom_min","United Kingdom","United Kingdom",2010,"domestic","3_apology",FALSE,"British Prime Minister Gordon Brown apologized to Òhome childrenÓ for a government program that sent poor children from London abroad to labor in British colonies."
2010-03-27,"Sierra Leone_gov","Sierra Leone_min","Sierra Leone","Sierra Leone",2010,"domestic","3_apology",FALSE,"Sierra Leona President Ernest Bai Koroma apologized for violence against women during the civil war"
2010-03-30,"Serbia_gov","Bosnia and Herzegovina_gov","Serbia","Bosnia and Herzegovina",2010,"international","3_apology",FALSE,"The Serbian parliament passed a resolution apologizing for the stateÕs failure to prevent the massacre of some 7,000 Bosnian Muslims by the Bosnian Serb Army at Srebrenica in 1995.Ê"
2010-04-14,"Croatia_gov","Bosnia and Herzegovina_gov","Croatia","Bosnia and Herzegovina",2010,"international","3_apology",FALSE,"Croatian President Ivo Josipovic apologized for Croatia's role in the Bosnian War"
2010-04-28,"Canada_gov","Canada_min","Canada","Canada",2010,"domestic","3_apology",FALSE,"Canada passed a bill to acknowledge and apologize for the unjust internment of Italian Canadians during WWII"
2010-06-14,"United Kingdom_gov","United Kingdom_min","United Kingdom","United Kingdom",2010,"domestic","3_apology",FALSE,"U.K. Prime Minister David Cameron said he is deeply sorryÓ for the killing of 14 unarmed demonstrators in Northern Ireland on ÒBloody SundayÓ in 1972."
2010-07-16,"Taiwan_gov","Taiwan_min","Taiwan","Taiwan",2010,"domestic","3_apology",FALSE,"Taiwan President Ma Ying-jeou apologized to the family members of the victims of the ""White Terror"" era."
2010-08-10,"Japan_gov","South Korea_gov","Japan","South Korea",2010,"international","3_apology",FALSE,"Japanese Prime Minister Naoto Kan apologized for Korea's suffering under colonization as part of a statement marking the 100th anniversary of the annexation in 1910.

"
